# Entity-resolution crosswalk: IIHS nameplate <-> FARS make/model codes.
# Built semi-automatically by src/vsa/tools/build_crosswalk.py:
# FARS VIN samples -> vPIC decode -> fuzzy match to IIHS nameplates.
# Low-confidence rows are duplicated into crosswalk_review.csv — review
# and correct HERE (this file is what resolve() reads). Every MY2017/
# MY2020 death-rate row must resolve or `make resolve` fails loudly.
iihs_name,fars_make_code,fars_model_code,vpic_body_class,drivetrain,class,luxury_flag
Ford Edge,12,24,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Jeep Wrangler 2-door,2,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
GMC Yukon,23,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,large SUVs,0
GMC Yukon,23,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,large SUVs,0
Dodge Durango,7,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,large SUVs,0
Chevrolet Tahoe,20,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,large SUVs,0
Dodge Durango,7,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,large SUVs,0
Chevrolet Tahoe,20,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,large SUVs,0
Chevrolet Suburban 1500,20,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,very large SUVs,0
Chevrolet Suburban 1500,20,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,very large SUVs,0
GMC Yukon XL 1500,23,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,very large SUVs,0
Buick Encore,18,404,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small luxury SUVs,1
Mercedes-Benz GLA Class,42,55,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small luxury SUVs,1
Buick Encore,18,404,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small luxury SUVs,1
Volvo XC60,51,50,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
BMW X3,34,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Lexus RX 350,59,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize luxury SUVs,1
Lexus RX 350,59,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Acura MDX,54,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize luxury SUVs,1
Lexus NX 300,59,405,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Volvo XC90,51,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Acura RDX,54,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Lexus RX 450h,59,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Audi Q5,32,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Buick Envision,18,405,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
BMW X5,34,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Buick Envision,18,405,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize luxury SUVs,1
Porsche Macan,45,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],NAN,midsize luxury SUVs,1
Acura MDX,54,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Lexus NX 300,59,405,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize luxury SUVs,1
Cadillac Escalade,19,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,large luxury SUVs,1
Cadillac Escalade ESV,19,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,very large luxury SUVs,1
Lincoln MKZ,13,13,Sedan/Saloon,2WD,midsize luxury cars,1
Lexus CT 200h,59,38,Hatchback/Liftback/Notchback,NAN,midsize luxury cars,1
Infiniti Q50,58,41,Sedan/Saloon,4WD,midsize luxury cars,1
BMW 320i,34,34,Sedan/Saloon,2WD,midsize luxury cars,1
Infiniti Q50,58,41,Sedan/Saloon,2WD,midsize luxury cars,1
Cadillac ATS,19,24,Sedan/Saloon,2WD,midsize luxury cars,1
Audi A6,32,42,Sedan/Saloon,4WD,large luxury cars,1
Cadillac XTS,19,23,Sedan/Saloon,2WD,very large luxury cars,1
Chevrolet Corvette coupe,20,4,Coupe,NAN,midsize sports cars,0
Ford Fiesta,12,32,Hatchback/Liftback/Notchback,NAN,mini station wagons/minivans,0
