cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy
MY2020,Kia Soul,small station wagons/minivans,,2020,63,6,120,,,,111248
MY2020,Subaru XV Crosstrek,small station wagons/minivans,,2018-20,24,11,37,,,,816413
MY2020,Subaru Impreza wagon,small station wagons/minivans,,2017-20,23,8,39,,,,471154
MY2020,Subaru Outback,midsize station wagons/minivans,,2020,5,0,15,,,,157098
MY2020,Chrysler Pacifica,very large station wagons/minivans,2WD,2017-20,20,10,29,,,,1187665
MY2020,Kia Sedona,very large station wagons/minivans,,2017-20,53,20,87,,,,221375
MY2020,Toyota Sienna,very large station wagons/minivans,2WD,2018-20,5,0,13,,,,296469
MY2020,Honda Odyssey,very large station wagons/minivans,,2018-20,6,0,13,,,,675226
MY2020,Dodge Grand Caravan,very large station wagons/minivans,,2017-20,48,34,62,,,,1240412
MY2020,Chevrolet Colorado Crew Cab,small pickups,4WD,2017-20,21,10,32,,,,534842
MY2020,Toyota Tacoma Double Cab long bed,small pickups,4WD,2018-20,6,0,18,,,,130814
MY2020,Toyota Tacoma Double Cab short bed,small pickups,4WD,2018-20,24,13,35,,,,620373
MY2020,Chevrolet Colorado Crew Cab,small pickups,2WD,2017-20,36,10,62,,,,262403
MY2020,GMC Canyon Crew Cab,small pickups,4WD,2017-20,5,0,14,,,,167686
MY2020,Jeep Gladiator,small pickups,4WD,2020,15,0,37,,,,103047
MY2020,Chevrolet Colorado Extended Cab,small pickups,2WD,2017-20,34,8,59,,,,162569
MY2020,Nissan Frontier King Cab,small pickups,2WD,2017-20,40,12,68,,,,157845
MY2020,Ford Ranger Crew Cab,small pickups,4WD,2019-20,14,0,31,,,,165078
MY2020,Toyota Tacoma Double Cab short bed,small pickups,2WD,2018-20,27,8,46,,,,308613
MY2020,Nissan Frontier Crew Cab short bed,small pickups,4WD,2017-20,56,28,85,,,,257137
MY2020,Nissan Frontier Crew Cab short bed,small pickups,2WD,2017-20,58,27,88,,,,238690
MY2020,Ford F-150 SuperCab,large pickups,4WD,2019-20,29,3,55,,,,136407
MY2020,Ford F-150 SuperCrew,large pickups,2WD,2019-20,30,5,55,,,,219880
MY2020,Toyota Tundra Double Cab short bed,large pickups,4WD,2018-20,12,0,28,,,,134250
MY2020,Ram 1500 Classic Crew Cab short bed,large pickups,4WD,2019-20,51,1,100,,,,100537
MY2020,Chevrolet Silverado 1500 Extended Cab,large pickups,4WD,2019-20,14,0,31,,,,163091
MY2020,Ram 1500 Crew Cab short bed,large pickups,4WD,2019-20,35,20,51,,,,653913
MY2020,Chevrolet Silverado 1500 Crew Cab,large pickups,2WD,2019-20,33,8,58,,,,166199
MY2020,GMC Sierra 1500 Crew Cab,large pickups,4WD,2019-20,24,9,38,,,,334415
MY2020,Ford F-150 SuperCrew,large pickups,4WD,2019-20,30,20,41,,,,1011699
MY2020,Ram 1500 Quad Cab,large pickups,4WD,2019-20,31,0,62,,,,102175
MY2020,Ram 1500 Classic Quad Cab,large pickups,4WD,2019-20,23,0,49,,,,102756
MY2020,Ram 1500 Crew Cab short bed,large pickups,2WD,2019-20,28,0,63,,,,126116
MY2020,Toyota Tundra Crew Max,large pickups,4WD,2018-20,34,15,52,,,,383730
MY2020,Chevrolet Silverado 1500 Crew Cab,large pickups,4WD,2019-20,25,14,37,,,,621948
MY2020,Ram 2500 Mega Cab,very large pickups,4WD,2017-20,65,22,108,,,,109656
MY2020,Ford F-250 SuperCab,very large pickups,4WD,2017-20,22,2,41,,,,181166
MY2020,Ford F-350 Crew Cab,very large pickups,4WD,2017-20,29,16,42,,,,630989
MY2020,Ram 3500 Crew Cab long bed,very large pickups,4WD,2017-20,37,16,57,,,,278118
MY2020,Ram 2500 Crew Cab long bed,very large pickups,4WD,2017-20,42,7,76,,,,160364
MY2020,Ford F-250 Crew Cab,very large pickups,4WD,2017-20,32,22,42,,,,1257411
MY2020,Ram 2500 Crew Cab short bed,very large pickups,4WD,2017-20,33,21,46,,,,775206
MY2020,Jeep Renegade,small SUVs,2WD,2017-20,50,21,78,,,,329250
MY2020,Honda CR-V,small SUVs,4WD,2020,14,0,36,,,,192967
MY2020,Jeep Compass,small SUVs,4WD,2017-20,41,24,58,,,,766229
MY2020,Nissan Rogue,small SUVs,4WD,2019-20,53,23,82,,,,356435
MY2020,Chevrolet Equinox,small SUVs,4WD,2020,30,0,62,,,,145157
MY2020,Nissan Rogue,small SUVs,2WD,2019-20,52,23,82,,,,291135
MY2020,Chevrolet Trax,small SUVs,2WD,2017-20,89,57,121,,,,544469
MY2020,Ford EcoSport,small SUVs,2WD,2018-20,84,35,132,,,,159334
MY2020,Honda HR-V,small SUVs,2WD,2017-20,63,29,96,,,,342959
MY2020,Jeep Compass,small SUVs,2WD,2017-20,27,6,48,,,,272762
MY2020,Toyota RAV4,small SUVs,4WD,2019-20,56,30,83,,,,490630
MY2020,Mitsubishi Outlander Sport,small SUVs,2WD,2017-20,39,13,64,,,,183247
MY2020,Chevrolet Trax,small SUVs,4WD,2017-20,59,26,91,,,,331884
MY2020,Subaru Forester,small SUVs,,2019-20,30,13,48,,,,542936
MY2020,Honda HR-V,small SUVs,4WD,2017-20,31,14,48,,,,551991
MY2020,Toyota RAV4 hybrid,small SUVs,4WD,2019-20,20,0,40,,,,250526
MY2020,Ford EcoSport,small SUVs,4WD,2018-20,67,29,104,,,,210660
MY2020,Hyundai Santa Fe,small SUVs,2WD,2019-20,17,0,39,,,,206616
MY2020,Chevrolet Equinox,small SUVs,2WD,2020,49,17,80,,,,201295
MY2020,Ford Escape,small SUVs,4WD,2020,43,1,85,,,,118845
MY2020,Toyota C-HR,small SUVs,,2018-20,2,0,7,,,,335243
MY2020,Hyundai Santa Fe,small SUVs,4WD,2019-20,19,0,37,,,,168181
MY2020,Hyundai Tucson,small SUVs,4WD,2019-20,40,7,73,,,,197787
MY2020,Hyundai Tucson,small SUVs,2WD,2019-20,60,16,105,,,,175072
MY2020,Mitsubishi Outlander Sport,small SUVs,4WD,2017-20,28,3,53,,,,140265
MY2020,Mitsubishi Outlander,small SUVs,2WD,2017-20,36,11,61,,,,174831
MY2020,Jeep Renegade,small SUVs,4WD,2017-20,49,25,72,,,,584852
MY2020,Toyota RAV4,small SUVs,2WD,2019-20,35,13,56,,,,395915
MY2020,Mitsubishi Outlander,small SUVs,4WD,2017-20,53,12,95,,,,161301
MY2020,Jeep Grand Cherokee,midsize SUVs,2WD,2017-20,40,18,62,,,,429423
MY2020,Honda Pilot,midsize SUVs,4WD,2019-20,13,0,30,,,,270505
MY2020,Chevrolet Traverse,midsize SUVs,4WD,2018-20,6,0,13,,,,391404
MY2020,GMC Acadia,midsize SUVs,2WD,2017-20,10,2,19,,,,461774
MY2020,Nissan Murano,midsize SUVs,2WD,2018-20,4,0,12,,,,202028
MY2020,Subaru Ascent,midsize SUVs,,2019-20,6,0,16,,,,244807
MY2020,Buick Enclave,midsize SUVs,2WD,2018-20,38,1,75,,,,135275
MY2020,Nissan Murano,midsize SUVs,4WD,2018-20,22,0,43,,,,234770
MY2020,Jeep Grand Cherokee,midsize SUVs,4WD,2017-20,12,6,17,,,,1811150
MY2020,Honda Pilot,midsize SUVs,2WD,2019-20,7,0,20,,,,120555
MY2020,Kia Sorento,midsize SUVs,2WD,2017-20,35,17,53,,,,593563
MY2020,Nissan Pathfinder,midsize SUVs,2WD,2018-20,0,0,22,,,,168710
MY2020,GMC Acadia,midsize SUVs,4WD,2017-20,11,3,20,,,,492071
MY2020,Dodge Journey,midsize SUVs,2WD,2017-20,62,40,83,,,,712378
MY2020,Ford Explorer,midsize SUVs,4WD,2020,22,0,47,,,,191990
MY2020,Chevrolet Traverse,midsize SUVs,2WD,2018-20,30,9,50,,,,457661
MY2020,Buick Enclave,midsize SUVs,4WD,2018-20,23,0,47,,,,133976
MY2020,Jeep Cherokee,midsize SUVs,2WD,2017-20,55,34,77,,,,581300
MY2020,Volkswagen Atlas,midsize SUVs,4WD,2019-20,20,0,52,,,,133586
MY2020,Nissan Pathfinder,midsize SUVs,4WD,2018-20,25,0,53,,,,214539
MY2020,Ford Edge,midsize SUVs,2WD,2019-20,49,2,96,,,,150376
MY2020,Chevrolet Blazer,midsize SUVs,2WD,2019-20,23,0,49,,,,103337
MY2020,Kia Sorento,midsize SUVs,4WD,2017-20,26,9,43,,,,473775
MY2020,Jeep Cherokee,midsize SUVs,4WD,2017-20,34,22,46,,,,1127807
MY2020,Jeep Wrangler 4-door,midsize SUVs,4WD,2018-20,39,25,54,,,,902729
MY2020,Ford Edge,midsize SUVs,4WD,2019-20,6,0,15,,,,260827
MY2020,Jeep Wrangler 2-door,midsize SUVs,4WD,2018-20,54,6,102,,,,108507
MY2020,GMC Yukon,large SUVs,2WD,2017-20,24,0,55,,,,144410
MY2020,GMC Yukon,large SUVs,4WD,2017-20,22,4,40,,,,299875
MY2020,Dodge Durango,large SUVs,2WD,2017-20,40,5,76,,,,204631
MY2020,Chevrolet Tahoe,large SUVs,4WD,2017-20,16,3,28,,,,549799
MY2020,Dodge Durango,large SUVs,4WD,2017-20,24,8,39,,,,463933
MY2020,Chevrolet Tahoe,large SUVs,2WD,2017-20,9,0,17,,,,369487
MY2020,Chevrolet Suburban 1500,very large SUVs,2WD,2017-20,54,9,99,,,,165714
MY2020,Chevrolet Suburban 1500,very large SUVs,4WD,2017-20,21,5,37,,,,352961
MY2020,GMC Yukon XL 1500,very large SUVs,4WD,2017-20,11,0,28,,,,243543
MY2020,Buick Encore,small luxury SUVs,4WD,2017-20,45,12,77,,,,236824
MY2020,Mercedes-Benz GLA Class,small luxury SUVs,4WD,2017-20,20,0,42,,,,119781
MY2020,Buick Encore,small luxury SUVs,2WD,2017-20,64,38,90,,,,584285
MY2020,Volvo XC60,midsize luxury SUVs,4WD,2018-20,5,0,16,,,,147494
MY2020,BMW X3,midsize luxury SUVs,4WD,2019-20,0,0,29,,,,128584
MY2020,Lexus RX 350,midsize luxury SUVs,2WD,2017-20,10,1,19,,,,391225
MY2020,Lexus RX 350,midsize luxury SUVs,4WD,2017-20,5,0,10,,,,510725
MY2020,Acura MDX,midsize luxury SUVs,2WD,2017-20,11,0,27,,,,138978
MY2020,Lexus NX 300,midsize luxury SUVs,4WD,2018-20,13,0,32,,,,119160
MY2020,Volvo XC90,midsize luxury SUVs,4WD,2018-20,4,0,13,,,,185346
MY2020,Acura RDX,midsize luxury SUVs,4WD,2019-20,6,0,18,,,,130075
MY2020,Lexus RX 450h,midsize luxury SUVs,4WD,2017-20,7,0,22,,,,106809
MY2020,Audi Q5,midsize luxury SUVs,4WD,2018-20,2,0,6,,,,423310
MY2020,Buick Envision,midsize luxury SUVs,4WD,2017-20,36,10,61,,,,177242
MY2020,BMW X5,midsize luxury SUVs,4WD,2019-20,6,0,19,,,,121031
MY2020,Buick Envision,midsize luxury SUVs,2WD,2017-20,51,13,88,,,,185795
MY2020,Porsche Macan,midsize luxury SUVs,,2017-20,6,0,14,,,,262964
MY2020,Acura MDX,midsize luxury SUVs,4WD,2017-20,6,0,16,,,,425582
MY2020,Lexus NX 300,midsize luxury SUVs,2WD,2018-20,6,0,17,,,,139035
MY2020,Cadillac Escalade,large luxury SUVs,4WD,2017-20,26,3,48,,,,153998
MY2020,Cadillac Escalade ESV,very large luxury SUVs,4WD,2017-20,27,0,67,,,,102948
MY2017,Lincoln MKZ,midsize luxury cars,2WD,2014-17,55,5,106,32.0,25.0,6.0,126721
MY2017,Acura TLX,midsize luxury cars,2WD,2015-17,21,0,42,13.0,10.0,0.0,240896
MY2017,Mercedes-Benz C-Class sedan,midsize luxury cars,2WD,2015-17,28,0,56,10.0,17.0,9.0,179762
MY2017,Lexus CT 200h,midsize luxury cars,,2014-17,6,0,19,6.0,0.0,0.0,118081
MY2017,Infiniti Q50,midsize luxury cars,4WD,2014-17,39,8,70,0.0,39.0,11.0,218675
MY2017,BMW 320i,midsize luxury cars,2WD,2014-17,42,4,80,17.0,29.0,0.0,137322
MY2017,Infiniti Q50,midsize luxury cars,2WD,2014-17,60,31,90,18.0,44.0,19.0,213505
MY2017,Mercedes-Benz C-Class sedan,midsize luxury cars,4WD,2015-17,0,0,15,0.0,0.0,0.0,254085
MY2017,Cadillac ATS,midsize luxury cars,2WD,2014-17,31,6,56,21.0,11.0,6.0,146586
MY2017,Audi A6,large luxury cars,4WD,2014-17,16,0,33,4.0,13.0,9.0,184986
MY2017,Cadillac XTS,very large luxury cars,2WD,2014-17,21,0,41,21.0,0.0,0.0,147596
MY2017,Chevrolet Corvette coupe,midsize sports cars,,2014-17,54,20,87,4.0,53.0,13.0,192396
MY2017,Ford Mustang coupe,midsize sports cars,,2015-17,45,20,70,42.0,3.0,0.0,279661
MY2017,Ford Mustang GT coupe,midsize sports cars,,2015-17,81,43,119,58.0,23.0,12.0,202978
MY2017,Chevrolet Camaro coupe,large sports cars,,2016-17,39,10,69,6.0,35.0,18.0,134504
MY2017,Hyundai Accent,mini station wagons/minivans,,2014-17,81,41,121,64.0,17.0,9.0,184081
MY2017,Ford Fiesta,mini station wagons/minivans,,2014-17,65,33,97,58.0,5.0,0.0,289093
MY2017,Honda Fit,mini station wagons/minivans,,2015-17,48,23,73,31.0,17.0,4.0,412993
MY2017,Chevrolet Sonic,small station wagons/minivans,,2014-17,74,36,111,59.0,13.0,13.0,244549
MY2017,Fiat 500L,small station wagons/minivans,,2014-17,24,0,62,24.0,0.0,0.0,112469
MY2017,Kia Soul,small station wagons/minivans,,2014-17,70,52,87,50.0,19.0,10.0,1346860
MY2017,Nissan Versa Note,small station wagons/minivans,,2014-17,96,65,127,80.0,12.0,7.0,600256
MY2017,Ford C-Max hybrid,small station wagons/minivans,,2014-17,37,0,78,37.0,0.0,0.0,115963
MY2017,Ford Focus,small station wagons/minivans,,2014-17,60,42,78,34.0,26.0,6.0,841734
MY2017,Toyota Prius v,small station wagons/minivans,,2014-17,19,3,34,19.0,0.0,0.0,244190
MY2017,Subaru XV Crosstrek,small station wagons/minivans,,2014-17,18,7,28,10.0,8.0,2.0,769213
MY2017,Subaru Outback,midsize station wagons/minivans,,2015-17,3,0,6,2.0,1.0,0.0,796921
MY2017,Chrysler Pacifica,very large station wagons/minivans,,2017,27,0,58,21.0,5.0,0.0,156682
MY2017,Honda Odyssey,very large station wagons/minivans,,2014-17,8,2,14,4.0,5.0,2.0,1289578
MY2017,Toyota Sienna,very large station wagons/minivans,2WD,2014-17,20,10,31,16.0,4.0,2.0,1067897
MY2017,Dodge Grand Caravan,very large station wagons/minivans,,2014-17,41,28,54,26.0,15.0,5.0,1226909
MY2017,Kia Sedona,very large station wagons/minivans,,2015-17,21,4,38,7.0,14.0,11.0,215030
MY2017,Toyota Sienna,very large station wagons/minivans,4WD,2014-17,7,0,18,4.0,4.0,0.0,206725
MY2017,Nissan Frontier King Cab,small pickups,2WD,2014-17,42,10,75,37.0,4.0,5.0,172775
MY2017,Toyota Tacoma Double Cab short bed,small pickups,2WD,2016-17,29,0,61,17.0,11.0,0.0,147758
MY2017,Chevrolet Colorado Crew Cab,small pickups,2WD,2015-17,16,0,35,5.0,11.0,6.0,141790
MY2017,Chevrolet Colorado Crew Cab,small pickups,4WD,2015-17,32,5,59,21.0,10.0,7.0,240560
MY2017,Toyota Tacoma Double Cab short bed,small pickups,4WD,2016-17,21,5,36,12.0,9.0,3.0,255258
MY2017,Nissan Frontier Crew Cab short bed,small pickups,2WD,2014-17,58,30,87,49.0,11.0,7.0,220126
MY2017,Chevrolet Colorado Extended Cab,small pickups,2WD,2015-17,15,0,36,0.0,15.0,8.0,101049
MY2017,GMC Canyon Crew Cab,small pickups,4WD,2015-17,15,0,36,7.0,8.0,0.0,102690
MY2017,Nissan Frontier Crew Cab short bed,small pickups,4WD,2014-17,21,4,39,7.0,15.0,0.0,212739
MY2017,Ford F-150,large pickups,2WD,2015-17,42,8,77,36.0,7.0,8.0,107246
MY2017,Chevrolet Silverado 1500 Extended Cab,large pickups,2WD,2014-17,37,18,56,24.0,13.0,6.0,432361
MY2017,Chevrolet Silverado 1500 Crew Cab,large pickups,4WD,2014-17,26,19,33,15.0,11.0,4.0,1769896
MY2017,Ford F-150 SuperCab,large pickups,4WD,2015-17,11,2,21,2.0,10.0,2.0,395598
MY2017,Toyota Tundra Double Cab short bed,large pickups,2WD,2014-17,17,0,35,13.0,4.0,0.0,174791
MY2017,Ram 1500 short bed,large pickups,2WD,2014-17,44,8,79,22.0,22.0,16.0,103962
MY2017,Toyota Tundra Crew Max,large pickups,4WD,2014-17,7,1,14,0.0,7.0,2.0,510093
MY2017,Chevrolet Silverado 1500 Extended Cab,large pickups,4WD,2014-17,24,16,32,13.0,11.0,3.0,1152425
MY2017,GMC Sierra 1500 Extended Cab,large pickups,2WD,2014-17,27,0,54,27.0,0.0,0.0,112477
MY2017,GMC Sierra 1500 Extended Cab,large pickups,4WD,2014-17,20,7,33,13.0,7.0,0.0,343354
MY2017,Toyota Tundra Crew Max,large pickups,2WD,2014-17,34,10,59,22.0,13.0,0.0,176345
MY2017,Ram 1500 Crew Cab short bed,large pickups,2WD,2014-17,37,19,56,21.0,17.0,10.0,416552
MY2017,Chevrolet Silverado 1500 Crew Cab,large pickups,2WD,2014-17,54,35,74,30.0,25.0,3.0,713318
MY2017,Chevrolet Silverado 1500,large pickups,4WD,2014-17,51,15,87,26.0,26.0,14.0,119212
MY2017,Ram 1500 Crew Cab short bed,large pickups,4WD,2014-17,39,28,50,17.0,22.0,10.0,1209652
MY2017,Ford F-150 Crew Cab,large pickups,4WD,2015-17,25,17,34,11.0,15.0,7.0,1552783
MY2017,GMC Sierra 1500 Crew Cab,large pickups,2WD,2014-17,48,21,74,33.0,15.0,6.0,264813
MY2017,Ford F-150 Supercab,large pickups,2WD,2015-17,23,4,43,12.0,12.0,0.0,193828
MY2017,Ram 1500 Crew Cab long bed,large pickups,4WD,2014-17,16,0,32,8.0,8.0,9.0,188357
MY2017,Toyota Tundra Double Cab short bed,large pickups,4WD,2014-17,13,1,25,5.0,8.0,0.0,287843
MY2017,Chevrolet Silverado 1500,large pickups,2WD,2014-17,32,12,52,19.0,13.0,3.0,236798
MY2017,Ford F-150 Crew Cab,large pickups,2WD,2015-17,30,15,45,20.0,9.0,3.0,498303
MY2017,Ram 1500 Quad Cab,large pickups,2WD,2014-17,41,20,62,16.0,25.0,5.0,346230
MY2017,Ram 1500 Quad Cab,large pickups,4WD,2014-17,30,15,45,24.0,6.0,5.0,605424
MY2017,GMC Sierra 1500 Crew Cab,large pickups,4WD,2014-17,29,18,40,14.0,15.0,5.0,871192
MY2017,Ford F250 Crew Cab,very large pickups,4WD,2017,30,6,55,15.0,15.0,0.0,150292
MY2017,Chevrolet Silverado 3500 Crew Cab,very large pickups,4WD,2015-17,15,0,32,0.0,15.0,5.0,151813
MY2017,Ram 2500 Mega Cab,very large pickups,4WD,2014-17,47,0,105,18.0,31.0,0.0,100187
MY2017,Ram 2500 Crew Cab short bed,very large pickups,4WD,2014-17,30,18,43,13.0,17.0,6.0,580038
MY2017,Chevrolet Silverado 2500 Extended Cab,very large pickups,4WD,2015-17,15,0,32,10.0,5.0,0.0,150684
MY2017,Ram 3500 Crew Cab long bed,very large pickups,4WD,2014-17,32,12,52,19.0,13.0,3.0,239085
MY2017,Ram 2500 Crew Cab long bed,very large pickups,4WD,2014-17,63,27,99,26.0,38.0,11.0,144323
MY2017,GMC Sierra 2500 Crew Cab,very large pickups,4WD,2015-17,22,6,38,11.0,11.0,3.0,274346
MY2017,Chevrolet Silverado 2500 Crew Cab,very large pickups,4WD,2015-17,17,7,27,13.0,4.0,2.0,526309
MY2017,Hyundai Tucson,small SUVs,4WD,2016-17,18,0,47,12.0,5.0,0.0,148722
MY2017,Mitsubishi Outlander Sport,small SUVs,2WD,2014-17,43,9,77,32.0,12.0,12.0,197002
MY2017,Toyota RAV4,small SUVs,2WD,2017,28,0,59,28.0,0.0,0.0,153216
MY2017,Toyota RAV4,small SUVs,4WD,2017,10,0,30,10.0,0.0,0.0,197926
MY2017,Subaru Forester,small SUVs,4WD,2014-17,17,10,24,9.0,9.0,2.0,1477741
MY2017,Jeep Renegade,small SUVs,2WD,2015-17,13,0,27,8.0,4.0,0.0,180718
MY2017,Jeep Patriot,small SUVs,2WD,2014-17,60,35,85,49.0,8.0,5.0,618728
MY2017,Mitsubishi Outlander,small SUVs,2WD,2014-17,55,5,104,31.0,22.0,15.0,105863
MY2017,Nissan Rogue,small SUVs,4WD,2014-17,13,7,20,9.0,5.0,3.0,1202111
MY2017,Jeep Compass,small SUVs,2WD,2014-17,55,25,85,40.0,15.0,0.0,321269
MY2017,Hyundai Tucson,small SUVs,2WD,2016-17,61,18,103,37.0,21.0,9.0,185863
MY2017,Jeep Renegade,small SUVs,4WD,2015-17,26,4,48,22.0,2.0,2.0,341425
MY2017,Jeep Wrangler 2-door,small SUVs,4WD,2014-17,46,25,68,23.0,23.0,20.0,438061
MY2017,Honda HR-V,small SUVs,4WD,2016-17,9,0,21,0.0,9.0,5.0,177447
MY2017,Honda CR-V,small SUVs,2WD,2017,18,0,54,18.0,0.0,0.0,110439
MY2017,Mitsubishi Outlander,small SUVs,4WD,2014-17,7,0,22,7.0,0.0,0.0,101350
MY2017,Ford Escape,small SUVs,2WD,2014-17,29,20,38,22.0,6.0,2.0,1768510
MY2017,Volkswagen Tiguan,small SUVs,2WD,2014-17,24,3,46,10.0,15.0,5.0,156404
MY2017,Mitsubishi Outlander Sport,small SUVs,4WD,2014-17,67,12,122,45.0,21.0,5.0,152405
MY2017,Chevrolet Trax,small SUVs,2WD,2015-17,73,32,114,40.0,37.0,20.0,233527
MY2017,Nissan Rogue,small SUVs,2WD,2014-17,51,32,70,38.0,11.0,1.0,891138
MY2017,Volkswagen Tiguan,small SUVs,4WD,2014-17,29,0,62,16.0,16.0,0.0,145607
MY2017,Honda HR-V,small SUVs,2WD,2016-17,50,4,95,36.0,11.0,6.0,140934
MY2017,Honda CR-V,small SUVs,4WD,2017,25,0,50,20.0,4.0,0.0,202094
MY2017,Ford Escape,small SUVs,4WD,2014-17,24,15,33,16.0,7.0,4.0,1351272
MY2017,Jeep Compass,small SUVs,4WD,2014-17,40,15,64,21.0,20.0,8.0,401789
MY2017,Chevrolet Trax,small SUVs,4WD,2015-17,45,2,88,15.0,33.0,0.0,166173
MY2017,Jeep Patriot,small SUVs,4WD,2014-17,36,18,54,24.0,12.0,2.0,503880
MY2017,Jeep Cherokee,midsize SUVs,2WD,2014-17,26,12,41,19.0,8.0,1.0,601120
MY2017,Jeep Cherokee,midsize SUVs,4WD,2014-17,20,10,30,12.0,7.0,2.0,1233091
MY2017,Kia Sorento,midsize SUVs,2WD,2016-17,32,5,58,12.0,22.0,0.0,244783
MY2017,Ford Explorer,midsize SUVs,2WD,2016-17,33,8,58,21.0,11.0,6.0,279681
MY2017,GMC Terrain,midsize SUVs,2WD,2014-17,33,16,51,22.0,10.0,1.0,595721
MY2017,Ford Explorer,midsize SUVs,4WD,2016-17,13,2,24,10.0,3.0,1.0,604755
MY2017,Ford Edge,midsize SUVs,2WD,2015-17,21,2,41,11.0,12.0,0.0,269325
MY2017,Ford Flex,midsize SUVs,2WD,2014-17,38,0,75,38.0,0.0,0.0,166244
MY2017,Nissan Murano,midsize SUVs,4WD,2015-17,19,0,42,19.0,0.0,0.0,251049
MY2017,Hyundai Santa Fe,midsize SUVs,4WD,2014-17,13,0,31,0.0,13.0,7.0,116678
MY2017,Jeep Grand Cherokee,midsize SUVs,2WD,2014-17,17,3,31,11.0,5.0,0.0,465291
MY2017,Hyundai Santa Fe Sport,midsize SUVs,4WD,2014-17,39,8,69,9.0,35.0,15.0,296306
MY2017,Honda Pilot,midsize SUVs,2WD,2016-17,17,0,43,5.0,15.0,14.0,161750
MY2017,Hyundai Santa Fe Sport,midsize SUVs,2WD,2014-17,51,24,78,26.0,26.0,15.0,421969
MY2017,Hyundai Santa Fe,midsize SUVs,2WD,2014-17,16,0,47,0.0,16.0,0.0,126743
MY2017,Jeep Grand Cherokee,midsize SUVs,4WD,2014-17,16,10,23,11.0,6.0,3.0,1901695
MY2017,Dodge Journey,midsize SUVs,4WD,2014-17,23,2,44,20.0,3.0,0.0,247043
MY2017,Chevrolet Equinox,midsize SUVs,4WD,2014-17,29,15,43,20.0,9.0,2.0,795787
MY2017,Dodge Journey,midsize SUVs,2WD,2014-17,45,25,65,26.0,19.0,12.0,728704
MY2017,Toyota 4Runner,midsize SUVs,4WD,2014-17,13,1,25,4.0,11.0,7.0,667774
MY2017,Nissan Pathfinder,midsize SUVs,4WD,2014-17,20,3,37,7.0,14.0,12.0,450004
MY2017,Toyota 4Runner,midsize SUVs,2WD,2014-17,34,0,67,23.0,10.0,0.0,235145
MY2017,Nissan Pathfinder,midsize SUVs,2WD,2014-17,25,5,45,20.0,4.0,2.0,386988
MY2017,Kia Sorento,midsize SUVs,4WD,2016-17,12,0,25,4.0,8.0,8.0,192211
MY2017,Honda Pilot,midsize SUVs,4WD,2016-17,11,0,27,11.0,0.0,0.0,354126
MY2017,Nissan Murano,midsize SUVs,2WD,2015-17,19,0,43,19.0,0.0,0.0,184170
MY2017,Toyota Highlander,midsize SUVs,4WD,2017,13,0,30,0.0,13.0,0.0,120591
MY2017,GMC Terrain,midsize SUVs,4WD,2014-17,18,6,31,12.0,6.0,4.0,369005
MY2017,Ford Edge,midsize SUVs,4WD,2015-17,20,6,33,10.0,11.0,5.0,445718
MY2017,Chevrolet Equinox,midsize SUVs,2WD,2014-17,45,33,57,32.0,12.0,6.0,1523947
MY2017,Jeep Wrangler 4-door,midsize SUVs,4WD,2014-17,31,21,41,15.0,17.0,10.0,1480243
MY2017,GMC Yukon,large SUVs,4WD,2015-17,27,0,53,14.0,14.0,13.0,232618
MY2017,Chevrolet Traverse,large SUVs,2WD,2014-17,27,11,44,16.0,11.0,3.0,636416
MY2017,Buick Enclave,large SUVs,4WD,2014-17,24,0,49,24.0,0.0,0.0,254700
MY2017,Chevrolet Tahoe,large SUVs,4WD,2015-17,19,3,35,12.0,6.0,4.0,412450
MY2017,Dodge Durango,large SUVs,4WD,2014-17,15,0,30,2.0,15.0,9.0,414697
MY2017,GMC Yukon,large SUVs,2WD,2015-17,40,0,88,0.0,40.0,26.0,119156
MY2017,Chevrolet Tahoe,large SUVs,2WD,2015-17,28,5,51,13.0,17.0,7.0,322663
MY2017,Buick Enclave,large SUVs,2WD,2014-17,20,2,38,15.0,4.0,2.0,349535
MY2017,Chevrolet Traverse,large SUVs,4WD,2014-17,29,9,49,19.0,9.0,2.0,435946
MY2017,Dodge Durango,large SUVs,2WD,2014-17,11,0,28,7.0,3.0,3.0,248854
MY2017,Ford Expedition,large SUVs,4WD,2014-17,17,0,36,6.0,11.0,6.0,137374
MY2017,Ford Expedition,large SUVs,2WD,2014-17,55,5,104,24.0,29.0,15.0,105353
MY2017,Ford Expedition EL,very large SUVs,4WD,2014-17,16,0,47,16.0,0.0,0.0,126577
MY2017,GMC Yukon XL 1500,very large SUVs,4WD,2015-17,0,0,20,0.0,0.0,0.0,186403
MY2017,Chevrolet Suburban 1500,very large SUVs,2WD,2015-17,25,0,57,0.0,25.0,0.0,141444
MY2017,Chevrolet Suburban 1500,very large SUVs,4WD,2015-17,8,0,18,8.0,0.0,0.0,278088
MY2017,Buick Encore,small luxury SUVs,2WD,2014-17,46,20,72,34.0,11.0,7.0,423729
MY2017,Land Rover Range Rover Evoque,small luxury SUVs,4WD,2014-17,0,0,35,0.0,0.0,0.0,104037
MY2017,Buick Encore,small luxury SUVs,4WD,2014-17,44,9,79,10.0,39.0,24.0,221553
