cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy
MY2014,Mercedes-Benz E-Class sedan,large luxury cars,2WD,2011-14,4,0,22,0.0,4.0,4.0,255357
MY2014,Hyundai Genesis sedan,large luxury cars,,2011-14,15,3,44,10.0,5.0,0.0,198610
MY2014,Audi A6,large luxury cars,4WD,2012-14,0,0,36,0.0,0.0,0.0,101164
MY2014,BMW 535xi,large luxury cars,4WD,2011-14,0,0,30,0.0,0.0,0.0,123121
MY2014,BMW 535i/is,large luxury cars,2WD,2011-14,0,0,28,0.0,0.0,0.0,132902
MY2014,BMW 528i,large luxury cars,2WD,2011-14,20,4,60,20.0,0.0,0.0,146689
MY2014,Mercedes-Benz E-Class sedan,large luxury cars,4WD,2011-14,5,0,26,5.0,0.0,0.0,217563
MY2014,Ford Mustang convertible,midsize sports cars,,2011-14,60,5,115,50.0,6.0,0.0,118810
MY2014,Ford Mustang coupe,midsize sports cars,,2011-14,58,28,87,19.0,42.0,28.0,315790
MY2014,Ford Mustang GT coupe,midsize sports cars,,2011-14,49,22,76,19.0,30.0,4.0,201892
MY2014,Chevrolet Camaro coupe,large sports cars,,2011-14,55,36,74,26.0,28.0,11.0,682257
MY2014,Chevrolet Camaro convertible,large sports cars,,2011-14,51,19,83,21.0,31.0,10.0,148566
MY2014,Ford Fiesta,mini station wagons/minivans,,2011-14,63,31,95,36.0,30.0,10.0,289281
MY2014,Hyundai Accent,mini station wagons/minivans,,2012-14,63,18,108,47.0,14.0,14.0,160157
MY2014,Ford Focus,small station wagons/minivans,,2012-14,45,26,64,26.0,19.0,3.0,658354
MY2014,Chevrolet Sonic,small station wagons/minivans,,2012-14,54,20,88,46.0,8.0,4.0,191015
MY2014,Subaru XV Crosstrek,small station wagons/minivans,4WD,2013-14,17,4,51,6.0,12.0,0.0,173380
MY2014,Kia Soul,small station wagons/minivans,,2014,82,24,140,58.0,26.0,17.0,123895
MY2014,Scion xB,small station wagons/minivans,,2011-14,51,21,82,37.0,14.0,7.0,217535
MY2014,Subaru Impreza,small station wagons/minivans,4WD,2012-14,12,3,36,8.0,4.0,0.0,245970
MY2014,Mini Countryman,small station wagons/minivans,2WD,2011-14,10,0,53,10.0,0.0,0.0,104350
MY2014,Toyota Prius v,midsize station wagons/minivans,,2012-14,29,2,56,29.0,0.0,0.0,245905
MY2014,Mazda 5,midsize station wagons/minivans,,2012-14,23,5,66,15.0,8.0,8.0,132386
MY2014,Subaru Outback,midsize station wagons/minivans,4WD,2011-14,12,5,20,8.0,3.0,1.0,1116891
MY2014,Volkswagen Jetta,midsize station wagons/minivans,,2011-14,20,0,41,20.0,0.0,0.0,249277
MY2014,Honda Odyssey,very large station wagons/minivans,,2011-14,8,1,15,6.0,2.0,2.0,1155445
MY2014,Dodge Grand Caravan,very large station wagons/minivans,,2011-14,35,21,48,24.0,10.0,2.0,1014124
MY2014,Chrysler Town & Country,very large station wagons/minivans,,2011-14,22,11,33,13.0,10.0,2.0,931363
MY2014,Toyota Sienna,very large station wagons/minivans,2WD,2011-14,9,2,16,6.0,3.0,2.0,1175091
MY2014,Toyota Sienna,very large station wagons/minivans,4WD,2011-14,10,1,37,10.0,0.0,0.0,194536
MY2014,Nissan Quest,very large station wagons/minivans,,2011-14,53,4,101,44.0,6.0,0.0,134849
MY2014,Toyota Tacoma Double Cab long bed,small pickups,4WD,2011-14,0,0,30,0.0,0.0,0.0,123290
MY2014,Nissan Frontier Crew Cab short bed,small pickups,4WD,2011-14,16,0,31,0.0,16.0,0.0,192115
MY2014,Nissan Frontier Crew Cab short bed,small pickups,2WD,2011-14,42,9,76,22.0,23.0,4.0,172697
MY2014,Toyota Tacoma Double Cab short bed,small pickups,2WD,2011-14,13,1,24,5.0,8.0,3.0,297521
MY2014,Toyota Tacoma Double Cab short bed,small pickups,4WD,2011-14,29,6,52,12.0,18.0,8.0,344811
MY2014,Toyota Tacoma Access Cab,small pickups,2WD,2011-14,30,0,63,18.0,10.0,5.0,145880
MY2014,Toyota Tacoma Access Cab,small pickups,4WD,2011-14,17,0,33,8.0,8.0,0.0,182034
MY2014,Toyota Tundra Double Cab short bed,large pickups,2WD,2011-14,19,2,36,15.0,4.0,0.0,199742
MY2014,Ram 1500 Quad Cab,large pickups,4WD,2013-14,39,6,72,20.0,18.0,4.0,168944
MY2014,Ford F-150 SuperCab,large pickups,4WD,2011-14,28,17,39,18.0,10.0,3.0,680506
MY2014,Toyota Tundra CrewMax,large pickups,4WD,2011-14,24,8,40,11.0,13.0,5.0,284798
MY2014,Honda Ridgeline,large pickups,4WD,2011-14,26,3,49,16.0,10.0,0.0,145910
MY2014,Ford F-150 Regular Cab,large pickups,2WD,2011-14,22,4,40,14.0,8.0,3.0,299709
MY2014,Ford F-150 SuperCab,large pickups,2WD,2011-14,20,7,32,12.0,8.0,0.0,384618
MY2014,Ram 1500 Crew Cab short bed,large pickups,4WD,2013-14,55,21,90,18.0,38.0,23.0,223776
MY2014,Ram 1500 Quad Cab,large pickups,2WD,2013-14,29,0,57,7.0,22.0,7.0,105525
