cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy,level
MY2008,All 2008 small sports cars,small sports cars,,2005-08,36,28,45,15.0,21.0,13.0,382527,class
MY2008,All 2008 midsize sports cars,midsize sports cars,,2005-08,80,72,88,27.0,53.0,33.0,817075,class
MY2008,All 2008 mini station wagons/minivans,mini station wagons/minivans,,2005-08,61,51,71,29.0,32.0,15.0,341857,class
MY2008,All 2008 small station wagons/minivans,small station wagons/minivans,,2005-08,59,55,63,36.0,23.0,14.0,2330481,class
MY2008,All 2008 midsize station wagons/minivans,midsize station wagons/minivans,,2005-08,43,36,49,18.0,24.0,18.0,723643,class
MY2008,All 2008 large station wagons/minivans,large station wagons/minivans,,2005-08,47,39,55,27.0,20.0,6.0,419599,class
MY2008,All 2008 very large station wagons/minivans,very large station wagons/minivans,,2005-08,25,22,27,17.0,7.0,2.0,2835972,class
MY2008,All 2008 small pickups,small pickups,,2005-08,42,39,45,15.0,27.0,16.0,1540822,class
MY2008,All 2008 large pickups,large pickups,,2005-08,46,43,49,12.0,34.0,21.0,3349044,class
MY2008,All 2008 very large pickups,very large pickups,,2005-08,46,31,62,20.0,26.0,24.0,124905,class
MY2008,All 2008 small SUVs,small SUVs,,2005-08,41,37,46,24.0,17.0,7.0,1425937,class
MY2008,All 2008 midsize SUVs,midsize SUVs,,2005-08,35,31,38,16.0,19.0,10.0,1762147,class
MY2008,All 2008 large SUVs,large SUVs,,2005-08,15,12,17,6.0,9.0,4.0,1784764,class
MY2008,All 2008 very large SUVs,very large SUVs,,2005-08,19,11,27,5.0,14.0,5.0,170793,class
MY2008,All 2008 vehicles,all,,2005-08,48,47,49,23.0,25.0,13.0,65078867,fleet
MY2004,All 2004 midsize luxury cars,midsize luxury cars,,2001-04,33,26,41,17.0,16.0,6.0,3220062,class
MY2004,All 2004 large luxury cars,large luxury cars,,2001-04,41,34,48,24.0,17.0,4.0,3635744,class
MY2004,All 2004 very large luxury cars,very large luxury cars,,2001-04,34,20,48,15.0,19.0,10.0,694664,class
MY2004,All 2004 mini sports cars,mini sports cars,,2001-04,107,54,160,54.0,54.0,26.0,196794,class
MY2004,All 2004 small sports cars,small sports cars,,2001-04,71,49,94,23.0,48.0,15.0,685364,class
MY2004,All 2004 midsize sports cars,midsize sports cars,,2001-04,115,100,131,51.0,64.0,31.0,2167977,class
MY2004,All 2004 large sports cars,large sports cars,,2001-04,41,15,67,13.0,28.0,16.0,182660,class
MY2004,All 2004 small station wagons/minivans,small station wagons/minivans,,2001-04,87,72,101,48.0,38.0,23.0,2396578,class
MY2004,All 2004 midsize station wagons/minivans,midsize station wagons/minivans,,2001-04,51,34,68,24.0,28.0,12.0,1009990,class
MY2004,All 2004 large station wagons/minivans,large station wagons/minivans,,2001-04,66,52,81,44.0,21.0,9.0,1938290,class
MY2004,All 2004 very large station wagons/minivans,very large station wagons/minivans,,2001-04,39,32,46,25.0,14.0,8.0,4336292,class
MY2004,All 2004 small pickups,small pickups,,2001-04,97,84,111,33.0,64.0,42.0,2165382,class
MY2004,All 2004 large pickups,large pickups,,2001-04,102,94,111,38.0,66.0,40.0,5999208,class
MY2004,All 2004 very large pickups,very large pickups,,2001-04,89,79,99,19.0,70.0,53.0,3742737,class
MY2004,All 2004 small SUVs,small SUVs,,2001-04,77,65,89,34.0,43.0,29.0,3297723,class
MY2004,All 2004 midsize SUVs,midsize SUVs,,2001-04,81,71,91,32.0,51.0,38.0,4774268,class
MY2004,All 2004 large SUVs,large SUVs,,2001-04,47,38,56,16.0,33.0,23.0,3055389,class
MY2004,All 2004 very large SUVs,very large SUVs,,2001-04,76,36,117,21.0,57.0,47.0,283043,class
MY2004,All 2004 vehicles,all,,2001-04,79,77,81,39.0,41.0,24.0,111769810,fleet
MY2002,All 2002 midsize luxury cars,midsize luxury cars,,1999-2002,41,30,52,20.0,20.0,11.0,2000683,class
