direction,term,coef,ci_lo,ci_hi,p_value,n,note,placebo
frontal,C(cls)[T.midsize station wagons/minivans],0.8400363464759244,0.3532653040404241,1.3268073889114247,0.0007186262945879903,8485.0,,True
frontal,C(cls)[T.small SUVs],0.41139944948123186,0.19679383165715245,0.6260050673053112,0.00017178718446209473,8485.0,,True
frontal,C(cls)[T.small cars],0.5168400208481837,0.27332438484009364,0.7603556568562737,3.184606311580974e-05,8485.0,,True
frontal,C(cls)[T.small pickups],0.2664954203169278,0.050166209570395304,0.4828246310634603,0.015757913368180748,8485.0,,True
frontal,C(cls)[T.small station wagons/minivans],0.18459527502692313,-0.2158712884821372,0.5850618385359835,0.3662890026652985,8485.0,,True
frontal,C(cls)[T.very large station wagons/minivans],0.021965892193839705,-0.3428305223847471,0.3867623067724265,0.9060537988915127,8485.0,,True
frontal,C(driver_sex)[T.2.0],-0.694768162995914,-0.7823762911786605,-0.6071600348131676,1.766116396006642e-54,8485.0,,True
frontal,C(road_class)[T.urban],-0.4642018660707032,-0.5501635860548166,-0.3782401460865898,3.5353133793552555e-26,8485.0,,True
frontal,side_updated,-0.1464781623655788,-0.20636754228885162,-0.086588782442306,1.6373031030968427e-06,8485.0,,True
frontal,driver_age,0.021234832120124694,0.01886364469391129,0.0236060195463381,5.724115008648253e-69,8485.0,,True
frontal,n_vehicles,-0.1778319585590604,-0.2536822347946822,-0.10198168232343859,4.324151848714997e-06,8485.0,,True
frontal,speed_limit,0.05623390988892831,0.05341450842601848,0.059053311351838146,0.0,8485.0,,True
left_side,Intercept,-8.900854132150132,-11.393575490830907,-6.408132773469356,2.5868544016208424e-12,1946.0,,True
left_side,C(cls)[T.large pickups],0.9436186136208741,-0.06890478278948586,1.956142010031234,0.06776242076687582,1946.0,,True
left_side,C(cls)[T.midsize SUVs],-0.002084720555760609,-1.1541635160466084,1.1499940749350872,0.9971702184715661,1946.0,,True
left_side,C(cls)[T.midsize cars],1.769726821581401,0.7743574696162357,2.7650961735465662,0.0004926201999631496,1946.0,,True
left_side,C(cls)[T.midsize luxury SUVs],-0.24605907060097432,-1.642812716554304,1.1506945753523556,0.729886131805386,1946.0,,True
