direction,term,coef,ci_lo,ci_hi,p_value,n,note,placebo
frontal,small_overlap_driver,0.0065282080466225,-0.1082425007923011,0.1212989168855463,0.9112328638964948,15168.0,,False
frontal,small_overlap_passenger,0.0135060104717935,-0.0345409069515387,0.0615529278951258,0.5816701628599118,15168.0,,False
frontal,driver_age,0.0193472728665252,0.0175554719301009,0.0211390738029496,2.092769067916038e-99,15168.0,,False
frontal,n_vehicles,-0.3333982176390685,-0.3956913781970567,-0.2711050570810803,9.613866773601748e-26,15168.0,,False
frontal,speed_limit,0.0503253342121527,0.0482067585407487,0.0524439098835568,0.0,15168.0,,False
left_side,Intercept,-10.768795604123945,-12.221043141211643,-9.31654806703624,7.416556809518844e-48,1106.0,,False
left_side,C(cls)[T.large luxury cars],-21.6461694128369,-22.55667401784231,-20.73566480783149,0.0,1106.0,,False
left_side,C(cls)[T.large pickups],1.9079195830493103,0.8060608955341078,3.0097782705645133,0.0006893785903014,1106.0,,False
left_side,C(cls)[T.midsize SUVs],1.6528491717280716,0.6687730935540244,2.6369252499021187,0.0009949687988552,1106.0,,False
left_side,C(cls)[T.midsize cars],2.788648781575183,1.8160571881165035,3.761240375033863,1.9131414250724096e-08,1106.0,,False
left_side,C(cls)[T.midsize luxury SUVs],1.3935123398431897,0.0684083479207293,2.71861633176565,0.0392890266636355,1106.0,,False
left_side,C(cls)[T.midsize station wagons/minivans],3.031774654866226,0.8879093459385414,5.175639963793911,0.0055762993062663,1106.0,,False
left_side,C(cls)[T.small SUVs],1.903188281125181,0.9761827927195604,2.8301937695308013,5.724141698071861e-05,1106.0,,False
left_side,C(cls)[T.small cars],0.8654889347260187,-0.2909781312416432,2.0219560006936805,0.1424254700488227,1106.0,,False
left_side,C(cls)[T.small pickups],0.531870819300503,-0.5269045093360224,1.5906461479370284,0.3248310501622897,1106.0,,False
left_side,C(cls)[T.small station wagons/minivans],0.95733064128288,-0.4540114018718888,2.368672684437649,0.1836937344028878,1106.0,,False
left_side,C(cls)[T.very large station wagons/minivans],-20.70216409204533,-21.58925009133166,-19.81507809275899,0.0,1106.0,,False
left_side,C(driver_sex)[T.2.0],0.2888927670480302,0.0707588630981312,0.5070266709979292,0.0094386805102802,1106.0,,False
left_side,C(road_class)[T.urban],-0.498953125649174,-0.7421132541085819,-0.2557929971897661,5.776643453734864e-05,1106.0,,False
left_side,side_updated,0.084265403309693,-0.0843191931804986,0.2528499997998848,0.327249379059695,1106.0,,False
left_side,driver_age,0.0458425681781294,0.0382149407095794,0.0534701956466795,4.977631198588671e-32,1106.0,,False
left_side,n_vehicles,-0.2168834182883688,-0.5170701750271438,0.0833033384504062,0.1567567386485225,1106.0,,False
left_side,speed_limit,0.0321095161221074,0.0252106217215904,0.0390084105226244,7.3575075951767e-20,1106.0,,False
rollover,,,,,,,no usable (discriminating) tests,False
frontal,Intercept,-8.174857950176271,-8.57785487149605,-7.771861028856493,0.0,8485.0,,True
frontal,C(cls)[T.large luxury cars],-1.6008927518543306,-3.5721447197577465,0.3703592160490851,0.111446383237438,8485.0,,True
frontal,C(cls)[T.large pickups],0.527258582041119,0.26184733135247,0.7926698327297679,9.87634917773092e-05,8485.0,,True
frontal,C(cls)[T.midsize SUVs],-0.0381029649239078,-0.2847713950686082,0.2085654652207926,0.7620755340712205,8485.0,,True
frontal,C(cls)[T.midsize cars],0.5127403763821736,0.2656220766370346,0.7598586761273126,4.768630999272267e-05,8485.0,,True
frontal,C(cls)[T.midsize luxury SUVs],-0.2113047551260308,-0.6951200339707855,0.2725105237187238,0.3919933994572379,8485.0,,True
frontal,C(cls)[T.midsize station wagons/minivans],0.8400363464759244,0.3532653040404241,1.3268073889114247,0.0007186262945879,8485.0,,True
frontal,C(cls)[T.small SUVs],0.4113994494812318,0.1967938316571524,0.6260050673053112,0.000171787184462,8485.0,,True
frontal,C(cls)[T.small cars],0.5168400208481837,0.2733243848400936,0.7603556568562737,3.184606311580974e-05,8485.0,,True
frontal,C(cls)[T.small pickups],0.2664954203169278,0.0501662095703953,0.4828246310634603,0.0157579133681807,8485.0,,True
frontal,C(cls)[T.small station wagons/minivans],0.1845952750269231,-0.2158712884821372,0.5850618385359835,0.3662890026652985,8485.0,,True
frontal,C(cls)[T.very large station wagons/minivans],0.0219658921938397,-0.3428305223847471,0.3867623067724265,0.9060537988915128,8485.0,,True
frontal,C(driver_sex)[T.2.0],-0.694768162995914,-0.7823762911786605,-0.6071600348131676,1.766116396006642e-54,8485.0,,True
frontal,C(road_class)[T.urban],-0.4642018660707032,-0.5501635860548166,-0.3782401460865898,3.5353133793552555e-26,8485.0,,True
frontal,side_updated,-0.1464781623655788,-0.2063675422888516,-0.086588782442306,1.6373031030968429e-06,8485.0,,True
frontal,driver_age,0.0212348321201246,0.0188636446939112,0.0236060195463381,5.724115008648252e-69,8485.0,,True
frontal,n_vehicles,-0.1778319585590604,-0.2536822347946822,-0.1019816823234385,4.324151848714997e-06,8485.0,,True
frontal,speed_limit,0.0562339098889283,0.0534145084260184,0.0590533113518381,0.0,8485.0,,True
left_side,Intercept,-8.900854132150132,-11.393575490830909,-6.408132773469356,2.5868544016208424e-12,1946.0,,True
left_side,C(cls)[T.large pickups],0.943618613620874,-0.0689047827894858,1.956142010031234,0.0677624207668758,1946.0,,True
left_side,C(cls)[T.midsize SUVs],-0.0020847205557606,-1.1541635160466084,1.1499940749350872,0.997170218471566,1946.0,,True
left_side,C(cls)[T.midsize cars],1.769726821581401,0.7743574696162357,2.7650961735465662,0.0004926201999631,1946.0,,True
