nameplate,drivetrain,class,study_cycle,rate_overall,ci_lo,ci_hi,rating_composite,class_z
Buick Encore,4WD,small luxury SUVs,MY2020,45.0,12.0,77.0,,0.09062865088588876
Mercedes-Benz GLA Class,4WD,small luxury SUVs,MY2020,20.0,0.0,42.0,,-1.0422294851877207
Buick Encore,2WD,small luxury SUVs,MY2020,64.0,38.0,90.0,,0.951600834301832
Volvo XC60,4WD,midsize luxury SUVs,MY2020,5.0,0.0,16.0,,-0.4384043520199926
BMW X3,4WD,midsize luxury SUVs,MY2020,0.0,0.0,29.0,,-0.8115144388455182
Lexus RX 350,2WD,midsize luxury SUVs,MY2020,10.0,1.0,19.0,,-0.06529426519446699
Lexus RX 350,4WD,midsize luxury SUVs,MY2020,5.0,0.0,10.0,,-0.4384043520199926
Acura MDX,2WD,midsize luxury SUVs,MY2020,11.0,0.0,27.0,,0.00932775217063814
Lexus NX 300,4WD,midsize luxury SUVs,MY2020,13.0,0.0,32.0,,0.1585717869008484
Volvo XC90,4WD,midsize luxury SUVs,MY2020,4.0,0.0,13.0,,-0.5130263693850977
Acura RDX,4WD,midsize luxury SUVs,MY2020,6.0,0.0,18.0,,-0.36378233465488746
Lexus RX 450h,4WD,midsize luxury SUVs,MY2020,7.0,0.0,22.0,,-0.28916031728978236
Audi Q5,4WD,midsize luxury SUVs,MY2020,2.0,0.0,6.0,,-0.662270404115308
Buick Envision,4WD,midsize luxury SUVs,MY2020,36.0,10.0,61.0,,1.8748781862982662
BMW X5,4WD,midsize luxury SUVs,MY2020,6.0,0.0,19.0,,-0.36378233465488746
Buick Envision,2WD,midsize luxury SUVs,MY2020,51.0,13.0,88.0,,2.994208446774843
Porsche Macan,,midsize luxury SUVs,MY2020,6.0,0.0,14.0,,-0.36378233465488746
Acura MDX,4WD,midsize luxury SUVs,MY2020,6.0,0.0,16.0,,-0.36378233465488746
Lexus NX 300,2WD,midsize luxury SUVs,MY2020,6.0,0.0,17.0,,-0.36378233465488746
Cadillac Escalade,4WD,large luxury SUVs,MY2020,26.0,3.0,48.0,,
Cadillac Escalade ESV,4WD,very large luxury SUVs,MY2020,27.0,0.0,67.0,,
Lincoln MKZ,2WD,midsize luxury cars,MY2017,55.0,5.0,106.0,,1.1659729791610802
Acura TLX,2WD,midsize luxury cars,MY2017,21.0,0.0,42.0,,-0.5090867937182181
Mercedes-Benz C-Class sedan,2WD,midsize luxury cars,MY2017,28.0,0.0,56.0,,-0.16422154636071548
Lexus CT 200h,,midsize luxury cars,MY2017,6.0,0.0,19.0,,-1.2480837523414379
Infiniti Q50,4WD,midsize luxury cars,MY2017,39.0,8.0,70.0,,0.3777095566296458
BMW 320i,2WD,midsize luxury cars,MY2017,42.0,4.0,80.0,,0.5255089483542897
Infiniti Q50,2WD,midsize luxury cars,MY2017,60.0,31.0,90.0,,1.4123052987021536
Mercedes-Benz C-Class sedan,4WD,midsize luxury cars,MY2017,0.0,0.0,15.0,,-1.543682535790726
Cadillac ATS,2WD,midsize luxury cars,MY2017,31.0,6.0,56.0,,-0.016422154636071495
Audi A6,4WD,large luxury cars,MY2017,16.0,0.0,33.0,,
Cadillac XTS,2WD,very large luxury cars,MY2017,21.0,0.0,41.0,,
Chevrolet Corvette coupe,,midsize sports cars,MY2017,54.0,20.0,87.0,,-0.3202563076101743
