nameplate,drivetrain,class,study_cycle,rate_overall,ci_lo,ci_hi,rating_composite,class_z
Toyota Highlander hybrid,4WD,midsize SUVs,MY2011,0.0,0.0,26.0,,-1.2725160955589931
Nissan Murano,4WD,midsize SUVs,MY2011,21.0,0.0,43.0,,0.34006895657179975
Jeep Wrangler 4-door,4WD,midsize SUVs,MY2011,21.0,7.0,35.0,,0.34006895657179975
Toyota Venza,4WD,midsize SUVs,MY2011,13.0,0.0,31.0,,-0.2742491585256452
Dodge Journey,2WD,midsize SUVs,MY2011,34.0,8.0,61.0,,1.3383358936051477
Dodge Nitro,4WD,midsize SUVs,MY2011,13.0,0.0,29.0,,-0.2742491585256452
Nissan Murano,2WD,midsize SUVs,MY2011,25.0,0.0,54.0,,0.6472280141205222
Jeep Liberty,2WD,midsize SUVs,MY2011,34.0,0.0,73.0,,1.3383358936051477
Dodge Nitro,2WD,midsize SUVs,MY2011,51.0,0.0,107.0,,2.6437618881872185
Hyundai Santa Fe,2WD,midsize SUVs,MY2011,16.0,1.0,32.0,,-0.04387986536410333
Toyota Highlander,4WD,midsize SUVs,MY2011,14.0,0.0,28.0,,-0.19745939413846456
Mazda CX-9,2WD,midsize SUVs,MY2011,12.0,0.0,29.0,,-0.3510389229128258
Ford Flex,2WD,midsize SUVs,MY2011,5.0,0.0,15.0,,-0.8885672736230901
Kia Sorento,2WD,midsize SUVs,MY2011,0.0,0.0,35.0,,-1.2725160955589931
Toyota FJ Cruiser,4WD,midsize SUVs,MY2011,18.0,0.0,36.0,,0.1096996634102579
Hyundai Santa Fe,4WD,midsize SUVs,MY2011,12.0,0.0,24.0,,-0.3510389229128258
Toyota Highlander,2WD,midsize SUVs,MY2011,7.0,0.0,18.0,,-0.7349877448487289
Ford Edge,4WD,midsize SUVs,MY2011,41.0,12.0,70.0,,1.875864244315412
Chevrolet Equinox,2WD,midsize SUVs,MY2011,5.0,0.0,12.0,,-0.8885672736230901
GMC Terrain,2WD,midsize SUVs,MY2011,38.0,0.0,80.0,,1.6454949511538701
Jeep Grand Cherokee,4WD,midsize SUVs,MY2011,7.0,0.0,21.0,,-0.7349877448487289
Toyota Venza,2WD,midsize SUVs,MY2011,21.0,0.0,47.0,,0.34006895657179975
Jeep Liberty,4WD,midsize SUVs,MY2011,19.0,4.0,35.0,,0.18648942779743852
Chevrolet Equinox,4WD,midsize SUVs,MY2011,5.0,0.0,15.0,,-0.8885672736230901
Mazda CX-9,4WD,midsize SUVs,MY2011,5.0,0.0,16.0,,-0.8885672736230901
Ford Edge,2WD,midsize SUVs,MY2011,14.0,3.0,25.0,,-0.19745939413846456
GMC Acadia,4WD,large SUVs,MY2011,8.0,0.0,18.0,,-0.29191158842847587
Toyota Sequoia,4WD,large SUVs,MY2011,0.0,0.0,33.0,,-1.2260286713995987
Buick Enclave,2WD,large SUVs,MY2011,8.0,0.0,16.0,,-0.29191158842847587
Ford Expedition,2WD,large SUVs,MY2011,36.0,3.0,68.0,,2.977498201970454
Chevrolet Tahoe,2WD,large SUVs,MY2011,18.0,6.0,30.0,,0.8757347652854276
Chevrolet Traverse,2WD,large SUVs,MY2011,8.0,0.0,17.0,,-0.29191158842847587
Buick Enclave,4WD,large SUVs,MY2011,10.0,0.0,29.0,,-0.05838231768569518
Chevrolet Tahoe,4WD,large SUVs,MY2011,10.0,1.0,18.0,,-0.05838231768569518
GMC Acadia,2WD,large SUVs,MY2011,15.0,1.0,29.0,,0.5254408591712566
Chevrolet Traverse,4WD,large SUVs,MY2011,11.0,0.0,24.0,,0.05838231768569518
GMC Yukon,2WD,large SUVs,MY2011,7.0,0.0,20.0,,-0.40867622379986623
Ford Expedition,4WD,large SUVs,MY2011,5.0,0.0,15.0,,-0.642205494542647
GMC Yukon,4WD,large SUVs,MY2011,4.0,0.0,11.0,,-0.7589701299140372
Nissan Armada,2WD,large SUVs,MY2011,7.0,0.0,21.0,,-0.40867622379986623
Chevrolet Avalanche 1500,4WD,very large SUVs,MY2011,29.0,5.0,53.0,,0.14744195615489714
Chevrolet Suburban 1500,2WD,very large SUVs,MY2011,60.0,13.0,107.0,,1.6710088364221676
Chevrolet Avalanche 1500,2WD,very large SUVs,MY2011,15.0,0.0,36.0,,-0.5406205059012895
GMC Yukon XL 1500,4WD,very large SUVs,MY2011,9.0,0.0,23.0,,-0.8355044182110838
Chevrolet Suburban 1500,4WD,very large SUVs,MY2011,17.0,0.0,34.0,,-0.4423258684646914
Volvo XC90,4WD,midsize luxury SUVs,MY2011,0.0,0.0,33.0,,-1.2743593187056785
Lexus RX 350,4WD,midsize luxury SUVs,MY2011,0.0,0.0,20.0,,-1.2743593187056785
Mercedes-Benz M-Class,4WD,midsize luxury SUVs,MY2011,3.0,0.0,10.0,,-0.8388187920594341
BMW X5,4WD,midsize luxury SUVs,MY2011,14.0,0.0,31.0,,0.758163138976796
Lincoln MKX,4WD,midsize luxury SUVs,MY2011,12.0,0.0,30.0,,0.4678027878792996
Acura MDX,4WD,midsize luxury SUVs,MY2011,12.0,0.0,24.0,,0.4678027878792996
Lexus RX 350,2WD,midsize luxury SUVs,MY2011,6.0,0.0,18.0,,-0.4032782654131895
Acura RDX,4WD,midsize luxury SUVs,MY2011,12.0,0.0,28.0,,0.4678027878792996
Lincoln MKX,2WD,midsize luxury SUVs,MY2011,20.0,0.0,43.0,,1.629244192269285
Cadillac Escalade,4WD,large luxury SUVs,MY2011,37.0,0.0,73.0,,1.1414474258498062
Mercedes-Benz GL-Class,4WD,large luxury SUVs,MY2011,0.0,0.0,22.0,,-0.7217976369344364
Land Rover Range Rover Sport,4WD,large luxury SUVs,MY2011,6.0,0.0,18.0,,-0.41964978891537
Saab 9-3 4-door,,midsize luxury cars,MY2008,16.0,8.0,24.0,,-1.0749532939486643
Acura 3.2 TL,,midsize luxury cars,MY2008,21.0,16.0,26.0,,-0.8220231071372139
Lexus ES 350,,midsize luxury cars,MY2008,32.0,22.0,42.0,,-0.26557669615202295
Lincoln Zephyr/MKZ,,midsize luxury cars,MY2008,72.0,53.0,90.0,,1.7578647983395808
BMW 3 series 4-door,,midsize luxury cars,MY2008,63.0,44.0,81.0,,1.30259046207897
Lexus IS 250 4-door,,midsize luxury cars,MY2008,33.0,21.0,45.0,,-0.2149906587897329
Mercedes-Benz CLK-Class convertible,,midsize luxury cars,MY2008,33.0,16.0,50.0,,-0.2149906587897329
Audi A4 4-door,4WD,midsize luxury cars,MY2008,28.0,18.0,38.0,,-0.46792084560118336
Acura RL,,large luxury cars,MY2008,21.0,10.0,31.0,,0.42566562296071425
Mercedes-Benz E-Class 4-door,4WD,large luxury cars,MY2008,0.0,0.0,43.0,,-0.8888899773591384
Audi A6 4-door,4WD,large luxury cars,MY2008,0.0,0.0,28.0,,-0.8888899773591384
Mercedes-Benz E-Class 4-door,,large luxury cars,MY2008,12.0,7.0,17.0,,-0.1377153486049369
Cadillac STS V6,,large luxury cars,MY2008,38.0,26.0,49.0,,1.4898296803624997
BMW 7 series,,very large luxury cars,MY2008,30.0,17.0,43.0,,-0.7071067811865476
Lincoln Town Car,,very large luxury cars,MY2008,54.0,45.0,63.0,,0.7071067811865476
Mazda Mx-5 Miata convertible,,mini sports cars,MY2008,83.0,61.0,104.0,,
Mercedes-Benz SLK-Class convertible,,small sports cars,MY2008,47.0,27.0,67.0,,-0.7071067811865475
Pontiac Soltice convertible,,small sports cars,MY2008,63.0,45.0,80.0,,0.7071067811865475
Nissan 350Z 2-door,,midsize sports cars,MY2008,143.0,120.0,166.0,,0.7071067811865475
Chevrolet Corvette 2-door,,midsize sports cars,MY2008,69.0,56.0,82.0,,-0.7071067811865475
Honda Fit,,mini station wagons/minivans,MY2008,63.0,49.0,77.0,,0.7071067811865475
Chevrolet Aveo,,mini station wagons/minivans,MY2008,58.0,44.0,72.0,,-0.7071067811865475
Dodge Caliber,,small station wagons/minivans,MY2008,39.0,31.0,47.0,,-1.1317995475355502
Kia Spectra5,,small station wagons/minivans,MY2008,102.0,79.0,125.0,,1.5287740157010046
Chevrolet HHR,,small station wagons/minivans,MY2008,73.0,63.0,82.0,,0.3040655500841778
Pontiac Vibe,,small station wagons/minivans,MY2008,61.0,52.0,70.0,,-0.202710366722785
Toyota Matrix,,small station wagons/minivans,MY2008,54.0,45.0,62.0,,-0.4983296515268466
Mazda 5,,midsize station wagons/minivans,MY2008,67.0,44.0,89.0,,0.7071067811865475
Subaru Outback,,midsize station wagons/minivans,MY2008,40.0,34.0,47.0,,-0.7071067811865475
Dodge Magnum Hemi,,large station wagons/minivans,MY2008,66.0,46.0,87.0,,0.7071067811865476
Dodge Magnum,,large station wagons/minivans,MY2008,40.0,31.0,48.0,,-0.7071067811865476
Nissan Quest,,very large station wagons/minivans,MY2008,58.0,46.0,70.0,,1.1296721147692708
Pontiac Montana SV6,,very large station wagons/minivans,MY2008,28.0,14.0,42.0,,-0.20590082880031044
Toyota Sienna,,very large station wagons/minivans,MY2008,0.0,0.0,36.0,,-1.4524355761319194
Chrysler Town & Country,,very large station wagons/minivans,MY2008,28.0,15.0,41.0,,-0.20590082880031044
Chevrolet Uplander,,very large station wagons/minivans,MY2008,51.0,33.0,68.0,,0.8180384279363685
Honda Odyssey,,very large station wagons/minivans,MY2008,17.0,14.0,20.0,,-0.6956109081091568
Kia Sedona,,very large station wagons/minivans,MY2008,16.0,9.0,22.0,,-0.7401300062281428
Dodge Grand Caravan,,very large station wagons/minivans,MY2008,63.0,42.0,84.0,,1.3522676053642009
Ford Ranger,2WD,small pickups,MY2008,81.0,71.0,91.0,,1.155605840071201
Chevrolet Colorado crew cab,2WD,small pickups,MY2008,60.0,50.0,70.0,,0.23893242021352862
Dodge Dakota extended cab,4WD,small pickups,MY2008,24.0,14.0,35.0,,-1.3325077281139097
Ford Ranger extended cab,2WD,small pickups,MY2008,75.0,65.0,85.0,,0.8936991486832946
Nissan Frontier extended cab,2WD,small pickups,MY2008,71.0,59.0,84.0,,0.7190946877580237
Toyota Tacoma crew cab,2WD,small pickups,MY2008,51.0,44.0,59.0,,-0.15392761686833098
Toyota Tacoma,2WD,small pickups,MY2008,61.0,50.0,72.0,,0.2825835354448463
Chevrolet Colorado crew cab,4WD,small pickups,MY2008,73.0,61.0,85.0,,0.8063969182206592
Chevrolet Colorado extended cab,2WD,small pickups,MY2008,93.0,78.0,108.0,,1.6794192228470137
Nissan Frontier crew cab,4WD,small pickups,MY2008,22.0,14.0,31.0,,-1.4198099585765451
Toyota Tacoma extended cab,2WD,small pickups,MY2008,42.0,35.0,50.0,,-0.5467876539501906
Dodge Dakota extended cab,2WD,small pickups,MY2008,41.0,31.0,51.0,,-0.5904387691815083
Dodge Dakota crew cab,4WD,small pickups,MY2008,20.0,14.0,26.0,,-1.5071121890391808
Chevrolet Colorado,2WD,small pickups,MY2008,57.0,47.0,67.0,,0.1079790745195754
Dodge Dakota crew cab,2WD,small pickups,MY2008,55.0,44.0,67.0,,0.020676844056939946
Toyota Tacoma crew cab,4WD,small pickups,MY2008,28.0,22.0,34.0,,-1.157903267188639
Ford Ranger extended cab,4WD,small pickups,MY2008,79.0,67.0,91.0,,1.0683036096085654
Toyota Tacoma extended cab,4WD,small pickups,MY2008,26.0,20.0,33.0,,-1.2452054976512743
Nissan Frontier crew cab,2WD,small pickups,MY2008,77.0,64.0,90.0,,0.98100137914593
Dodge Ram,2WD,large pickups,MY2008,36.0,26.0,46.0,,-0.7565984375294609
Ford F-150,2WD,large pickups,MY2008,65.0,59.0,71.0,,0.1885676105842656
Ford F-150 extended cab,4WD,large pickups,MY2008,55.0,50.0,60.0,,-0.13735171635150215
Nissan Titan crew cab,4WD,large pickups,MY2008,92.0,70.0,114.0,,1.0685497933108385
Ford F-150,4WD,large pickups,MY2008,62.0,50.0,74.0,,0.09079181250353527
Ford F-150 extended cab,2WD,large pickups,MY2008,59.0,53.0,65.0,,-0.006983985577195056
Toyota Tundra crew cab,2WD,large pickups,MY2008,23.0,15.0,31.0,,-1.180293562545959
Dodge Ram 1500 crew cab,4WD,large pickups,MY2008,40.0,33.0,47.0,,-0.6262307067551538
Nissan Titan crew cab,2WD,large pickups,MY2008,126.0,102.0,149.0,,2.1766755048924487
Ford F-150 crew cab,2WD,large pickups,MY2008,44.0,39.0,50.0,,-0.49586297598084667
Honda Ridgeline crew cab,4WD,large pickups,MY2008,27.0,20.0,33.0,,-1.0499258317716518
Nissan Titan extended cab,2WD,large pickups,MY2008,111.0,86.0,137.0,,1.6877965144887972
Ford F-150 crew cab,4WD,large pickups,MY2008,40.0,36.0,44.0,,-0.6262307067551538
Dodge Ram 1500 crew cab,2WD,large pickups,MY2008,49.0,41.0,57.0,,-0.3329033125129628
Dodge Ram 3500 crew cab,4WD,very large pickups,MY2008,59.0,51.0,68.0,,0.7071067811865476
Dodge Ram 2500 crew cab,4WD,very large pickups,MY2008,47.0,42.0,53.0,,-0.7071067811865476
Jeep Wrangler 2-door,4WD,small SUVs,MY2008,20.0,12.0,27.0,,-1.0646016538744023
Toyota RAV4,2WD,small SUVs,MY2008,34.0,22.0,45.0,,-0.08287318263692939
Toyota RAV4,4WD,small SUVs,MY2008,33.0,23.0,43.0,,-0.15299664486817746
Hyundai Tucson,4WD,small SUVs,MY2008,46.0,31.0,62.0,,0.7586083641380473
Honda CR-V,2WD,small SUVs,MY2008,22.0,14.0,30.0,,-0.9243547294119061
Honda CR-V,4WD,small SUVs,MY2008,7.0,3.0,11.0,,-1.976206662880627
Ford Escape,2WD,small SUVs,MY2008,42.0,25.0,58.0,,0.4781145152130551
Kia Sportage,2WD,small SUVs,MY2008,58.0,45.0,71.0,,1.600089910913024
Subaru Forester,4WD,small SUVs,MY2008,45.0,37.0,54.0,,0.6884849019067993
Kia Sportage,4WD,small SUVs,MY2008,41.0,24.0,59.0,,0.40799105298180705
Hyundai Tucson,2WD,small SUVs,MY2008,39.0,31.0,48.0,,0.2677441285193109
Dodge Nitro,4WD,midsize SUVs,MY2008,26.0,15.0,38.0,,-0.1869796859812384
Lexus RX 350,4WD,midsize SUVs,MY2008,25.0,12.0,38.0,,-0.23904997827981114
Acura MDX,4WD,midsize SUVs,MY2008,11.0,3.0,19.0,,-0.9680340704598295
Lexus RX 400h,4WD,midsize SUVs,MY2008,12.0,3.0,21.0,,-0.9159637781612567
Nissan Pathfinder,2WD,midsize SUVs,MY2008,60.0,48.0,72.0,,1.5834102521702347
Mazda CX-7,4WD,midsize SUVs,MY2008,32.0,18.0,46.0,,0.125442067810198
Nissan Xterra,2WD,midsize SUVs,MY2008,72.0,55.0,89.0,,2.208253759753107
Nissan Xterra,4WD,midsize SUVs,MY2008,27.0,17.0,37.0,,-0.13490939368266566
Volvo XC90,4WD,midsize SUVs,MY2008,28.0,18.0,38.0,,-0.08283910138409294
Jeep Grand Cherokee,4WD,midsize SUVs,MY2008,11.0,5.0,16.0,,-0.9680340704598295
Jeep Wrangler 4-door,4WD,midsize SUVs,MY2008,17.0,8.0,26.0,,-0.655612316668393
Ford Edge,4WD,midsize SUVs,MY2008,0.0,0.0,27.0,,-1.5408072857441295
BMW X3,4WD,midsize SUVs,MY2008,24.0,15.0,33.0,,-0.29112027057838386
Nissan Pathfinder,4WD,midsize SUVs,MY2008,31.0,23.0,39.0,,0.07337177551162527
Mercedes-Benz M Class 4d,4WD,midsize SUVs,MY2008,14.0,7.0,22.0,,-0.8118231935641113
Ford Edge,2WD,midsize SUVs,MY2008,25.0,15.0,34.0,,-0.23904997827981114
Honda Pilot,4WD,midsize SUVs,MY2008,20.0,14.0,26.0,,-0.4994014397726748
Infiniti FX35,4WD,midsize SUVs,MY2008,46.0,22.0,70.0,,0.8544261599902163
Honda Pilot,2WD,midsize SUVs,MY2008,20.0,13.0,28.0,,-0.4994014397726748
Subaru B9 Tribeca,4WD,midsize SUVs,MY2008,62.0,39.0,84.0,,1.68755083676738
Hyundai Santa Fe,2WD,midsize SUVs,MY2008,25.0,16.0,35.0,,-0.23904997827981114
Cadillac SRX,4WD,midsize SUVs,MY2008,63.0,48.0,78.0,,1.7396211290659527
Nissan Armada,4WD,large SUVs,MY2008,0.0,0.0,34.0,,-1.2095991875122294
Cadillac Escalade,4WD,large SUVs,MY2008,33.0,19.0,47.0,,1.3749400836469947
Nissan Armada,2WD,large SUVs,MY2008,21.0,12.0,29.0,,0.43510762140727677
Porsche Cayenne,4WD,large SUVs,MY2008,28.0,13.0,43.0,,0.9833432243804455
Jeep Commander,4WD,large SUVs,MY2008,22.0,15.0,29.0,,0.5134269932605866
Land Rover Range Rover,4WD,large SUVs,MY2008,22.0,6.0,37.0,,0.5134269932605866
Land Rover Range Rover Sport,4WD,large SUVs,MY2008,0.0,0.0,33.0,,-1.2095991875122294
Land Rover LR3,4WD,large SUVs,MY2008,0.0,0.0,26.0,,-1.2095991875122294
Lexus GX 470,4WD,large SUVs,MY2008,13.0,7.0,20.0,,-0.1914473534192018
Jaguar X-type,,midsize luxury cars,MY2004,54.0,11.0,97.0,,1.4964079835914184
BMW 3 series 4-door,,midsize luxury cars,MY2004,35.0,17.0,53.0,,0.1816448997423109
Volvo S60,,midsize luxury cars,MY2004,34.0,7.0,61.0,,0.11244684269762104
Mercedes-Benz C-Class,,midsize luxury cars,MY2004,24.0,8.0,40.0,,-0.5795337277492777
Infiniti G35,,midsize luxury cars,MY2004,11.0,0.0,23.0,,-1.4791084693302459
BMW 3 series 2-door,,midsize luxury cars,MY2004,35.0,3.0,66.0,,0.1816448997423109
Lexus ES series,,midsize luxury cars,MY2004,18.0,4.0,33.0,,-0.9947220700174169
BMW 3 series convertible,,midsize luxury cars,MY2004,48.0,5.0,92.0,,1.0812196413232793
Lincoln LS,,large luxury cars,MY2004,53.0,26.0,81.0,,0.47444692861829485
Mercedes-Benz E-Class,,large luxury cars,MY2004,14.0,0.0,31.0,,-1.2217008411921095
Lexus LS 430,,large luxury cars,MY2004,30.0,12.0,47.0,,-0.525845345885277
Cadillac CTS,,large luxury cars,MY2004,81.0,34.0,129.0,,1.6921940454052518
Lexus GS series,,large luxury cars,MY2004,29.0,8.0,49.0,,-0.5693363143419541
Volvo V70 wagon,4WD,large luxury cars,MY2004,26.0,0.0,56.0,,-0.6998092197119852
Buick Park Avenue,,large luxury cars,MY2004,85.0,49.0,121.0,,1.86615791923196
Volvo S80,,large luxury cars,MY2004,29.0,0.0,59.0,,-0.5693363143419541
Cadillac Seville,,large luxury cars,MY2004,30.0,5.0,56.0,,-0.525845345885277
Volvo V70 wagon,,large luxury cars,MY2004,35.0,0.0,69.0,,-0.30839050360189185
Cadillac Deville,,large luxury cars,MY2004,51.0,36.0,66.0,,0.38746499170494075
Lincoln Town Car,,very large luxury cars,MY2004,91.0,44.0,139.0,,1.1470786693528088
BMW 7 series,,very large luxury cars,MY2004,11.0,0.0,23.0,,-0.6882472016116853
Mercedes Benz S-Class,,very large luxury cars,MY2004,21.0,5.0,38.0,,-0.4588314677411235
Mazda MX-5 Miata convertible,,mini sports cars,MY2004,65.0,16.0,115.0,,
Mitsubishi Eclipse convertible,,small sports cars,MY2004,146.0,78.0,214.0,,
Chevrolet Corvette,,midsize sports cars,MY2004,81.0,42.0,119.0,,-0.9041148852501625
Ford Mustang,,midsize sports cars,MY2004,150.0,122.0,177.0,,0.5672041497088282
Nissan 350Z,,midsize sports cars,MY2004,193.0,110.0,276.0,,1.4841131135238512
Chevrolet Corvette convertible,,midsize sports cars,MY2004,96.0,40.0,151.0,,-0.5842629211286428
Ford Mustang convertible,,midsize sports cars,MY2004,97.0,65.0,129.0,,-0.5629394568538748
Ford Thunderbird convertible,,large sports cars,MY2004,37.0,7.0,67.0,,
Pontiac Vibe,,small station wagons/minivans,MY2004,62.0,20.0,105.0,,-0.5071664892015529
Ford Focus wagon,,small station wagons/minivans,MY2004,101.0,54.0,147.0,,0.905654445002773
Toyota Matrix,,small station wagons/minivans,MY2004,44.0,9.0,79.0,,-1.1592376896035494
Chrysler PT Cruiser,,small station wagons/minivans,MY2004,97.0,77.0,117.0,,0.7607497338023294
Volkswagen Passat,,midsize station wagons/minivans,MY2004,37.0,0.0,82.0,,-0.7071067811865476
Subaru Legacy,,midsize station wagons/minivans,MY2004,50.0,30.0,70.0,,0.7071067811865476
Chevrolet Venture,,large station wagons/minivans,MY2004,72.0,20.0,123.0,,0.060841163968309055
Dodge Caravan,,large station wagons/minivans,MY2004,65.0,41.0,89.0,,-0.2585749468653146
Chevrolet Venture LWB,,large station wagons/minivans,MY2004,63.0,37.0,89.0,,-0.3498366928177785
Ford Taurus,,large station wagons/minivans,MY2004,91.0,29.0,153.0,,0.9278277505167162
Mazda MPV,,large station wagons/minivans,MY2004,36.0,10.0,62.0,,-1.5818702631760413
Oldsmobile Silhouette,,large station wagons/minivans,MY2004,97.0,44.0,149.0,,1.2016129883741078
Toyota Sienna,,very large station wagons/minivans,MY2004,17.0,0.0,35.0,,-0.6692049433258027
Kia Sedona,,very large station wagons/minivans,MY2004,35.0,9.0,62.0,,0.2817705024529695
Chrysler Town & Country,,very large station wagons/minivans,MY2004,54.0,37.0,71.0,,1.2855779174416735
Dodge Grand Caravan,,very large station wagons/minivans,MY2004,48.0,33.0,62.0,,0.9685861021820827
Honda Odyssey,,very large station wagons/minivans,MY2004,17.0,6.0,28.0,,-0.6692049433258027
Chevrolet Astro,,very large station wagons/minivans,MY2004,7.0,0.0,18.0,,-1.1975246354251206
Nissan Frontier,2WD,small pickups,MY2004,67.0,46.0,87.0,,-0.9901688532936641
Toyota Tacoma,2WD,small pickups,MY2004,96.0,73.0,118.0,,-0.13044140582311758
Dodge Dakota,4WD,small pickups,MY2004,62.0,41.0,83.0,,-1.1383977235472067
Ford Ranger,2WD,small pickups,MY2004,135.0,114.0,156.0,,1.025743782154514
Toyota Tacoma,4WD,small pickups,MY2004,85.0,61.0,109.0,,-0.4565449203809111
Dodge Dakota,2WD,small pickups,MY2004,103.0,77.0,129.0,,0.07707901253184193
Chevrolet T10,4WD,small pickups,MY2004,98.0,44.0,153.0,,-0.07114985772170057
Nissan Frontier,4WD,small pickups,MY2004,61.0,19.0,102.0,,-1.168043497597915
Mazda B series,2WD,small pickups,MY2004,147.0,89.0,205.0,,1.381493070763016
Ford Ranger,4WD,small pickups,MY2004,150.0,119.0,180.0,,1.4704303929151414
Ford F150,4WD,large pickups,MY2004,58.0,23.0,93.0,,-0.8253474948626707
GMC Sierra 1500,4WD,large pickups,MY2004,71.0,48.0,95.0,,-0.33391921547879033
Chevrolet Silverado 1500,4WD,large pickups,MY2004,85.0,72.0,99.0,,0.1953112392423116
Chevrolet Slvrdo 1500,2WD,large pickups,MY2004,106.0,91.0,120.0,,0.9891569213239645
Toyota Tundra,4WD,large pickups,MY2004,65.0,40.0,89.0,,-0.5607322675021197
Ford F150 Heritage,2WD,large pickups,MY2004,119.0,103.0,136.0,,1.4805852007078448
GMC Sierra 1500,2WD,large pickups,MY2004,82.0,59.0,106.0,,0.08190471323064691
Toyota Tundra,2WD,large pickups,MY2004,69.0,44.0,93.0,,-0.4095235661532335
Dodge Ram 1500,2WD,large pickups,MY2004,99.0,78.0,120.0,,0.7245416939634135
Ford F150,2WD,large pickups,MY2004,40.0,10.0,71.0,,-1.505786650932659
Dodge Ram 1500,4WD,large pickups,MY2004,46.0,30.0,62.0,,-1.2789735989093296
Ford F150 Heritage,4WD,large pickups,MY2004,118.0,95.0,141.0,,1.4427830253706233
Ford F350,4WD,very large pickups,MY2004,103.0,79.0,128.0,,1.1398171568040496
Ford F250,4WD,very large pickups,MY2004,122.0,101.0,143.0,,1.8647217920936543
GMC Sierra 2500,4WD,very large pickups,MY2004,53.0,32.0,74.0,,-0.7678266202738576
Ford F350,2WD,very large pickups,MY2004,50.0,15.0,85.0,,-0.882285246898532
Chevrolet Slvrdo 2500,4WD,very large pickups,MY2004,72.0,57.0,88.0,,-0.04292198498425291
Dodge Ram 2500,4WD,very large pickups,MY2004,73.0,39.0,108.0,,-0.004769109442694768
Chevrolet Silverado 2500,2WD,very large pickups,MY2004,56.0,34.0,78.0,,-0.6533679936491832
Ford F250,2WD,very large pickups,MY2004,56.0,36.0,77.0,,-0.6533679936491832
Honda CR-V,2WD,small SUVs,MY2004,49.0,1.0,96.0,,-0.8415688066738409
Chevrolet Tracker,4WD,small SUVs,MY2004,132.0,73.0,191.0,,2.5593777940792477
Honda Element,4WD,small SUVs,MY2004,49.0,0.0,98.0,,-0.8415688066738409
Honda CR-V,4WD,small SUVs,MY2004,67.0,40.0,95.0,,-0.10401412217317116
Subaru Forester,4WD,small SUVs,MY2004,53.0,8.0,98.0,,-0.6776677656736921
Mazda Tribute,2WD,small SUVs,MY2004,85.0,31.0,140.0,,0.6335405623274987
Saturn Vue,4WD,small SUVs,MY2004,65.0,19.0,112.0,,-0.18596464267324558
Saturn Vue,2WD,small SUVs,MY2004,73.0,29.0,118.0,,0.14183743932705212
Mazda Tribute,4WD,small SUVs,MY2004,44.0,9.0,79.0,,-1.046445107924027
Ford Escape,4WD,small SUVs,MY2004,65.0,42.0,88.0,,-0.18596464267324558
Ford Escape,2WD,small SUVs,MY2004,84.0,54.0,115.0,,0.5925653020774614
Hyundai Santa Fe,2WD,small SUVs,MY2004,47.0,9.0,86.0,,-0.9235193271739154
Jeep Wrangler,4WD,small SUVs,MY2004,91.0,62.0,120.0,,0.8793921238277219
Buick Rendezvous,4WD,midsize SUVs,MY2004,51.0,5.0,97.0,,-0.5225890879896534
Nissan Pathfinder,2WD,midsize SUVs,MY2004,64.0,25.0,102.0,,-0.2552460591801316
Jeep Grand Cherokee,2WD,midsize SUVs,MY2004,68.0,39.0,98.0,,-0.17298666570027874
Toyota 4Runner,4WD,midsize SUVs,MY2004,13.0,0.0,28.0,,-1.3040533260482559
Land Rover Discovery,4WD,midsize SUVs,MY2004,111.0,44.0,177.0,,0.7113018142081396
Lexus RX 330,4WD,midsize SUVs,MY2004,28.0,7.0,49.0,,-0.9955806004988075
Isuzu Rodeo,2WD,midsize SUVs,MY2004,131.0,66.0,195.0,,1.1225987816074041
Nissan Pathfinder,4WD,midsize SUVs,MY2004,36.0,15.0,57.0,,-0.8310618135391017
Ford Explorer,4WD,midsize SUVs,MY2004,47.0,33.0,62.0,,-0.6048484814695063
Toyota Highlander,2WD,midsize SUVs,MY2004,30.0,10.0,50.0,,-0.9544509037588811
Chevrolet Trailblazer,2WD,midsize SUVs,MY2004,102.0,49.0,155.0,,0.5262181788784707
Chevrolet Blazer,2WD,midsize SUVs,MY2004,123.0,52.0,194.0,,0.9580799946476983
GMC Envoy,4WD,midsize SUVs,MY2004,88.0,25.0,150.0,,0.23831030169898565
Mercedes-Benz M-Class,4WD,midsize SUVs,MY2004,14.0,0.0,30.0,,-1.2834884776782924
Ford Explorer,2WD,midsize SUVs,MY2004,57.0,35.0,79.0,,-0.39919999776987414
Mitsubishi Montero Sport,4WD,midsize SUVs,MY2004,127.0,61.0,194.0,,1.0403393881275511
Mitsubishi Montero Sport,2WD,midsize SUVs,MY2004,146.0,84.0,208.0,,1.4310715071568523
Toyota Highlander,4WD,midsize SUVs,MY2004,14.0,4.0,25.0,,-1.2834884776782924
Suzuki Grand Vitara XL-7,4WD,midsize SUVs,MY2004,78.0,25.0,131.0,,0.03266181799935345
Jeep Grand Cherokee,4WD,midsize SUVs,MY2004,57.0,42.0,72.0,,-0.39919999776987414
Buick Rendezvous,2WD,midsize SUVs,MY2004,76.0,12.0,140.0,,-0.008467878740572986
Jeep Liberty,2WD,midsize SUVs,MY2004,115.0,57.0,173.0,,0.7935612076879925
Nissan Xterra,2WD,midsize SUVs,MY2004,82.0,45.0,118.0,,0.11492121147920632
Nissan Xterra,4WD,midsize SUVs,MY2004,59.0,30.0,89.0,,-0.3580703010299477
